include,label,title,pathology_category,assigned_groups,structure_id,rung_tag,rung_type,source_route,space_group,radiation,R1,wR2,Rint,completeness,alerts_A,alerts_B,alerts_C,catastrophic,cif_path,fcf_available,suggested_label
,,,Data quality — low resolution,,nx2032,02_res_1p2,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0147,0.0369,0.028,99.0%,5,1,7,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_02_res_1p2/I.cif,yes,nx2032_res1p2
,,,Data quality — incomplete data,,nx2032,03_complete_88,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0239,0.0570,0.048,87.0%,1,1,2,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_03_complete_88/I.cif,yes,nx2032_complete88
,,,Data quality — incomplete data,,nx2032,04_complete_80,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0239,0.0573,0.049,80.0%,1,1,2,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_04_complete_80/I.cif,yes,nx2032_complete80
,,,Data quality — systematic gaps (3DED geometry),,nx2032,05_cone_3ded,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0253,0.0586,0.048,100.0%,0,0,2,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_05_cone_3ded/I.cif,yes,nx2032_cone3ded
,,,Data quality — low-angle wedge missing,,nx2032,06_wedge_lowang,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0241,0.0577,0.053,100.0%,0,0,3,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_06_wedge_lowang/I.cif,yes,nx2032_wedgelowang
,,,Data quality — weak data,,nx2032,07_weak,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0232,0.0513,0.049,100.0%,0,0,2,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_07_weak/I.cif,yes,nx2032_weak
,,,Data quality — absorption error,,nx2032,08_absorption,data-degradation,synthetic-degraded,P -4 21 c,Mo,0.0470,0.1241,0.287,100.0%,0,0,2,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_08_absorption/I.cif,yes,nx2032_absorption
,,,Atom misassignment,,nx2032,wa,wrong-atom,synthetic-wrong-atom,P -4 21 c,Mo,0.1303,0.3383,0.049,100.0%,3,5,13,,Pipeline/Good_Structures_and_data/nx2032/ladder/rung_wa/I.cif,yes,nx2032_wa
,,,Reference (no degradation),,jp2026,00_reference,data-degradation,synthetic-degraded,P b c a,Mo,0.0562,0.1377,0.076,92.6%,0,0,4,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_00_reference/I.cif,yes,jp2026_reference
,,,Data quality — low resolution,,jp2026,01_res_1p0,data-degradation,synthetic-degraded,P b c a,Mo,0.0345,0.0878,0.060,99.8%,1,1,4,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_01_res_1p0/I.cif,yes,jp2026_res1p0
,,,Data quality — low resolution,,jp2026,02_res_1p2,data-degradation,synthetic-degraded,P b c a,Mo,0.0280,0.0668,0.052,99.7%,2,0,4,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_02_res_1p2/I.cif,yes,jp2026_res1p2
,,,Data quality — incomplete data,,jp2026,03_complete_88,data-degradation,synthetic-degraded,P b c a,Mo,0.0556,0.1378,0.079,81.5%,1,1,4,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_03_complete_88/I.cif,yes,jp2026_complete88
,,,Data quality — incomplete data,,jp2026,04_complete_80,data-degradation,synthetic-degraded,P b c a,Mo,0.0540,0.1329,0.073,73.9%,1,1,4,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_04_complete_80/I.cif,yes,jp2026_complete80
,,,Data quality — systematic gaps (3DED geometry),,jp2026,05_cone_3ded,data-degradation,synthetic-degraded,P b c a,Mo,0.0562,0.1364,0.078,75.9%,1,1,5,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_05_cone_3ded/I.cif,yes,jp2026_cone3ded
,,,Data quality — low-angle wedge missing,,jp2026,06_wedge_lowang,data-degradation,synthetic-degraded,P b c a,Mo,0.0572,0.1352,0.087,92.1%,0,1,5,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_06_wedge_lowang/I.cif,yes,jp2026_wedgelowang
,,,Data quality — weak data,,jp2026,07_weak,data-degradation,synthetic-degraded,P b c a,Mo,0.0442,0.0813,0.076,92.6%,0,0,4,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_07_weak/I.cif,yes,jp2026_weak
,,,Data quality — absorption error,,jp2026,08_absorption,data-degradation,synthetic-degraded,P b c a,Mo,0.0738,0.2138,0.183,92.6%,0,1,5,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_08_absorption/I.cif,yes,jp2026_absorption
,,,Missed symmetry,,jp2026,ms,missed-symmetry,synthetic-wrong-symmetry,P b c a,Mo,0.0588,0.1375,0.073,87.0%,5,8,12,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_ms/I.cif,yes,jp2026_ms
,,,Atom misassignment,,jp2026,wa,wrong-atom,synthetic-wrong-atom,P b c a,Mo,0.1830,0.5133,0.076,92.6%,6,6,16,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_wa/I.cif,yes,jp2026_wa
,,,Missing atoms,,jp2026,ma,missing-atoms,synthetic-missing-atoms,P b c a,Mo,0.2283,0.6148,0.076,92.6%,6,4,13,,Pipeline/Good_Structures_and_data/jp2026/ladder/rung_ma/I.cif,yes,jp2026_ma
,,,Reference (no degradation),,nu2017,00_reference,data-degradation,synthetic-degraded,P 21/c,Cu,,,0.000,99.8%,0,0,4,,Pipeline/Good_Structures_and_data/nu2017/ladder/rung_00_reference/I.cif,yes,nu2017_reference
